KOI,kepmag,rhostar,teff,rstar,mstar,logg,[M/H],Binary,TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,min_p,max_p,mean_p,range_p,log_range_p,normstd_p,dpp,mean_dpp,gapc,gini,logstd_p,zeta,mean_zeta,min_r,max_r,mean_r,range_r,std_r,normstd_r,logstd_r,r_rat,mean_rrat,gini_r,subearth,supearth,subnep,nepplus,N_first,N_second,res_frac,deltas,min_abs_delta,med_abs_delta,res_summary
41,11.197,0.43884,5857,1.53,1.1,4.103,0.098,0,[ 6.88707653 12.81590514 35.333574  ],[1.27  2.269 1.528],[-0.054 -0.068 -0.064],[0.081 0.128 0.106],[198. 101.  39.],[ 38.2 106.7  28.8],[27.5 68.6 18. ],[6359.2 5592.3 1934.7],3,6.88707653,35.333574,18.34551856,28.44649747,0.71015266,0.667944922,[0.86086289 1.75700964],1.308936265,0.181006678,0.194060521,0.085767976,[0.4848755  1.29255348],0.88871449,1.27,2.269,1.689,0.999,0.423431222,0.250699362,0.10592787,[1.78661417 0.67342442],1.230019295,0.197158082,0,2,1,0,0,0,0,[-0.06956855 -0.08099679],0.069568555,0.075282671,[0. 0.]
70,12.498,1.91702,5507,0.88,0.94,4.452,0.103,0,[ 3.6961217   6.09854476 10.85409146 19.57772139 77.6113425 ],[1.71  0.807 2.815 0.868 2.503],[-0.049 -0.038 -0.084 -0.044 -0.088],[0.073 0.057 0.099 0.057 0.124],[360. 219. 119.  66.  15.],[130.   24.8 252.8  17.2 100.5],[108.2  16.5 203.2  12.2  75.4],[7801.5 5525.4 4041.4 2093.1  936.3],5,3.6961217,77.6113425,23.56756436,73.9152208,1.322178933,1.169489131,[0.64998484 0.77978385 0.80371812 2.96426841],1.299438803,0.244134762,0.252481351,0.158292913,[1.38450771 0.84721998 0.73265196 1.0120541 ],0.994108439,0.807,2.815,1.7406,2.008,0.820922067,0.47163166,0.232932916,[0.47192982 3.488228   0.30834813 2.88364055],1.788036629,0.324658164,2,1,2,0,0,1,0.25,[-0.0100091   0.06787031  0.08223087  0.3214228 ],0.010009098,0.075050589,[1.66666667 0.         0.         0.        ]
82,11.492,2.84227,4911,0.72,0.8,4.571,0.102,0,[ 5.28689179  7.07134469 10.31172605 16.14567465 22.4100071  27.45362377],[0.461 0.575 1.177 2.175 0.601 0.833],[-0.029 -0.031 -0.038 -0.072 -0.042 -0.037],[0.037 0.05  0.08  0.101 0.056 0.058],[254. 180. 120.  82.  59.  50.],[ 15.8  22.4  81.6 242.7  11.9  27.5],[ 13.9  19.8  65.3 210.3   8.5  21.4],[5492.5 4730.1 3622.  2802.5 1138.3 1425.7],6,5.28689179,27.45362377,14.77987801,22.16673198,0.715399256,0.54563616,[0.33752401 0.45824118 0.56575869 0.38798827 0.22506091],0.394914613,0.056317611,0.05750264,0.03579652,[0.11174334 0.5467708  0.69738589 1.26780757 1.32972462],0.790686445,0.461,2.175,0.970333333,1.714,0.586644318,0.604580197,0.235831809,[1.2472885  2.04695652 1.84791844 0.27632184 1.38602329],1.360901719,0.364410855,4,1,1,0,2,1,0.6,[ 0.00314301 -0.02783921  0.04383913 -0.0085798  -0.01995127],0.003143005,0.019951269,[1.33333333 0.         0.         1.4        1.2       ]
85,11.018,0.58657,6213,1.44,1.25,4.219,0.122,0,[2.15490986 5.8599363  8.13120523],[1.46  2.619 1.539],[-0.045 -0.075 -0.056],[0.067 0.075 0.088],[625. 230. 164.],[ 83.  186.4  55.3],[ 61.7 149.3  41.2],[15560.3  7729.6  5213.2],3,2.15490986,8.13120523,5.38201713,5.97629537,0.576725814,0.457654676,[1.71934173 0.38759277],1.053467247,0.676441393,0.324268371,0.148079291,[1.25514617 1.2599175 ],1.257531834,1.46,2.619,1.872666667,1.159,0.528721939,0.282336386,0.115716946,[1.79383562 0.58762887],1.190732241,0.206301175,0,2,1,0,0,1,0.5,[-0.09355276 -0.00886231],0.008862309,0.051207533,[0.  1.4]
94,12.205,0.66796,6171,1.37,1.18,4.243,0.064,0,[ 3.74315826 10.42367242 22.34295404 54.32005919],[ 1.596  3.859 10.242  6.105],[-0.058 -0.106 -0.231 -0.157],[0.082 0.106 0.294 0.157],[170.  60.  30.  12.],[  49.7  204.4 1120.6  291.3],[ 31.5 136.5 703.  162.1],[5480. 2655. 1650.  856.],4,3.74315826,54.32005919,22.70746098,50.57690093,1.161722045,0.855644896,[1.78472661 1.14348198 1.43119415],1.453134249,0.024652447,0.087132699,0.046479736,[1.31907028 0.3764344  0.90384834],0.866451006,1.596,10.242,5.4505,8.646,3.192839058,0.585788287,0.310032642,[2.4179198  2.65405545 0.59607499],1.88935008,0.430908479,0,1,1,2,0,0,0,[-0.0717578   0.07174099 -0.18960195],0.071740992,0.071757796,[0. 0. 0.]
111,12.596,1.02446,5763,1.05,0.82,4.385,-0.409,0,[11.42754491 23.66832881 51.75535987],[2.375 2.265 2.63 ],[-0.07  -0.079 -0.081],[0.06  0.079 0.113],[117.  54.  25.],[165.5 112.8 116.9],[148.1  99.4  99.9],[4665. 2307. 1478.],3,11.42754491,51.75535987,28.9504112,40.32781496,0.656002396,0.58313887,[1.0711648  1.18669262],1.12892871,0.004218001,0.027132852,0.011787626,[0.19931052 0.4719654 ],0.335637957,2.265,2.63,2.423333333,0.365,0.152879764,0.06308656,0.027086014,[0.95368421 1.1611479 ],1.057416057,0.050206327,0,0,3,0,0,0,0,[0.0355824  0.09334631],0.035582402,0.064464355,[0. 0.]
115,12.791,1.29936,5932,1.03,0.99,4.394,-0.081,0,[3.43589876 5.41220432 7.1259213 ],[0.517 2.522 1.431],[-0.051 -0.083 -0.053],[0.051 0.113 0.077],[373. 246. 179.],[  8.7 166.7  47.1],[  7.4 163.5  39.8],[10834.2  6308.   4640.2],3,3.43589876,7.1259213,5.324674793,3.69002254,0.316800663,0.283156504,[0.57519319 0.31663937],0.44591628,0.188829099,0.089408294,0.038972482,[0.78436104 0.47450084],0.629430937,0.517,2.522,1.49,2.005,0.819600309,0.550067322,0.296573305,[4.87814313 0.56740682],2.722774977,0.448545861,1,1,1,0,1,0,0.5,[ 0.05012879 -0.01252047],0.012520471,0.031324631,[0.         1.33333333]
116,12.882,1.23112,5862,1.05,0.96,4.372,-0.08,0,[ 6.16489698 13.57077256 23.98008894 43.84443349],[0.795 2.384 1.078 2.622],[-0.057 -0.088 -0.06  -0.107],[0.062 0.103 0.072 0.225],[208. 102.  55.  31.],[14.4 88.4 17.1 83.7],[11.6 76.8 10.9 65.6],[6246.6 2840.4 2653.5 1297.6],4,6.16489698,43.84443349,21.89004799,37.67953651,0.851988639,0.647204587,[1.20129754 0.76703934 0.82836826],0.932235046,0.037296482,0.074914662,0.041984186,[0.50270029 0.91114231 0.62157768],0.678473425,0.795,2.622,1.71975,1.827,0.794085756,0.461744879,0.227544862,[2.99874214 0.45218121 2.432282  ],1.96106845,0.328875321,1,1,2,0,0,0,0,[ 0.10064877  0.0602236  -0.08581587],0.060223602,0.08581587,[0. 0. 0.]
117,12.487,0.56932,5861,1.44,1.22,4.12,0.302,0,[ 3.18002806  4.90143997  7.95826316 14.74916437],[1.585 1.712 1.019 2.996],[-0.062 -0.065 -0.055 -0.101],[0.093 0.115 0.072 0.156],[342. 219. 133.  69.],[ 50.4  50.6  14.7 107.4],[35.  33.2 10.2 66.2],[8154.8 5300.5 3638.1 3656.7],4,3.18002806,14.74916437,7.69722389,11.56913631,0.666336463,0.573769407,[0.54131972 0.62365819 0.85331448],0.672764133,0.03935507,0.062171499,0.033725415,[0.45798874 1.18967274 0.51570266],0.721121384,1.019,2.996,1.828,1.977,0.723050828,0.395542028,0.169633402,[1.08012618 0.59521028 2.94013739],1.538491284,0.276167031,0,3,1,0,1,0,0.333333333,[ 0.02754648 -0.02580508 -0.07334276],0.025805085,0.027546482,[1.5 0.  0. ]
137,13.96,0.5075,6821,1.54,1.33,4.184,-0.173,0,[ 3.5047162   7.64156004 14.85892272],[1.589 4.212 5.077],[-0.06  -0.101 -0.127],[0.078 0.132 0.162],[387. 180.  93.],[ 67.5 437.5 456.8],[ 50.8 366.3 399.4],[6353. 5153. 2870.],3,3.5047162,14.85892272,8.668399653,11.35420652,0.627334468,0.541260032,[1.18036486 0.94448812],1.062426489,0.020447801,0.057184278,0.024872111,[0.45841298 0.1763237 ],0.31736834,1.589,5.077,3.626,3.488,1.483033603,0.40899989,0.226556078,[2.65072373 1.20536562],1.928044674,0.320647178,0,1,0,2,0,0,0,[ 0.09018243 -0.02775594],0.02775594,0.058969184,[0. 0.]
