KOI,kepmag,rhostar,mstar,logg,[M/H],TTVperiod,radius,radius_em,radius_ep,nTT,SNR,MES,chisqwttv,n,minper,maxper,meanper,perrange,lograngep,normstdp,meandpp,gapc,gini,qdisp,meanzeta,minrad,maxrad,meanrad,radrange,stdr,normstdr,qdispr,gini_r,subearth,supearth,subnep,nepplus,Unnamed: 38,N_first,N_second,deltas,min_abs_delta,med_abs_delta,res_summary
41,11.197,0.43884,1.1,4.103,0.098,[ 6.88707653 12.81590514 35.333574  ],[1.27  2.269 1.528],[-0.054 -0.068 -0.064],[0.081 0.128 0.106],[198. 101.  39.],[ 38.2 106.7  28.8],[27.5 68.6 18. ],[6359.2 5592.3 1934.7],3,6.88707653,35.333574,18.345518556666665,28.44649747,0.710152659710835,0.6679449216830274,1.3089362647074716,0.1810066782345304,0.1940605207987438,0.0857679763583389,0.8887144900456984,1.27,2.269,1.689,0.999,0.4234312222781877,0.2506993619172218,0.1059278700330484,0.1971580817051509,0,2,1,0,,0,0,[-0.06956855 -0.08099679],0.06956855465638334,0.07528267087357338,[0. 0.]
70,12.498,1.91702,0.94,4.452,0.103,[ 3.6961217   6.09854476 10.85409146 19.57772139 77.6113425 ],[1.71  0.807 2.815 0.868 2.503],[-0.049 -0.038 -0.084 -0.044 -0.088],[0.073 0.057 0.099 0.057 0.124],[360. 219. 119.  66.  15.],[130.   24.8 252.8  17.2 100.5],[108.2  16.5 203.2  12.2  75.4],[7801.5 5525.4 4041.4 2093.1  936.3],5,3.6961217,77.6113425,23.567564362,73.9152208,1.3221789332701106,1.169489130689718,1.2994388031733417,0.2441347624463861,0.252481351297329,0.1582929132134221,0.994108439235132,0.807,2.815,1.7406,2.008,0.8209220669466742,0.4716316597418558,0.2329329161318054,0.3246581638515454,2,1,2,0,,0,1,[-0.0100091   0.06787031  0.08223087  0.3214228 ],0.010009097914714271,0.07505058894032113,[1.66666667 0.         0.         0.        ]
82,11.492,2.84227,0.8,4.571,0.102,[ 5.28689179  7.07134469 10.31172605 16.14567465 22.4100071  27.45362377],[0.461 0.575 1.177 2.175 0.601 0.833],[-0.029 -0.031 -0.038 -0.072 -0.042 -0.037],[0.037 0.05  0.08  0.101 0.056 0.058],[254. 180. 120.  82.  59.  50.],[ 15.8  22.4  81.6 242.7  11.9  27.5],[ 13.9  19.8  65.3 210.3   8.5  21.4],[5492.5 4730.1 3622.  2802.5 1138.3 1425.7],6,5.28689179,27.45362377,14.779878008333332,22.16673198,0.7153992561983636,0.5456361604849318,0.3949146132586423,0.0563176110441381,0.0575026398001485,0.0357965197213005,0.790686444840265,0.461,2.175,0.9703333333333334,1.7139999999999995,0.5866443177561301,0.6045801969317727,0.2358318086509857,0.3644108553761593,4,1,1,0,,2,1,[ 0.00314301 -0.02783921  0.04383913 -0.0085798  -0.01995127],0.0031430050320739866,0.019951269180990217,[1.33333333 0.         0.         1.4        1.2       ]
85,11.018,0.58657,1.25,4.219,0.122,[2.15490986 5.8599363  8.13120523],[1.46  2.619 1.539],[-0.045 -0.075 -0.056],[0.067 0.075 0.088],[625. 230. 164.],[ 83.  186.4  55.3],[ 61.7 149.3  41.2],[15560.3  7729.6  5213.2],3,2.15490986,8.13120523,5.382017130000001,5.976295370000001,0.5767258143948264,0.4576546763910685,1.0534672473785285,0.6764413932494248,0.3242683711506174,0.1480792912990247,1.2575318337365782,1.46,2.619,1.8726666666666667,1.1590000000000005,0.5287219391030498,0.282336386135484,0.1157169461390067,0.2063011747953008,0,2,1,0,,0,1,[-0.09355276 -0.00886231],0.008862308671463426,0.05120753318621413,[0.  1.4]
94,12.205,0.66796,1.18,4.243,0.064,[ 3.74315826 10.42367242 22.34295404 54.32005919],[ 1.596  3.859 10.242  6.105],[-0.058 -0.106 -0.231 -0.157],[0.082 0.106 0.294 0.157],[170.  60.  30.  12.],[  49.7  204.4 1120.6  291.3],[ 31.5 136.5 703.  162.1],[5480. 2655. 1650.  856.],4,3.74315826,54.32005919,22.7074609775,50.57690093,1.1617220451144086,0.855644896130553,1.4531342492370771,0.0246524472935361,0.0871326994926329,0.0464797356644784,0.86645100597416,1.596,10.242,5.4505,8.646,3.1928390579545347,0.5857882869378103,0.3100326417838373,0.4309084793444027,0,1,1,2,,0,0,[-0.0717578   0.07174099 -0.18960195],0.07174099202937145,0.07175779595989251,[0. 0. 0.]
111,12.596,1.02446,0.82,4.385,-0.409,[11.42754491 23.66832881 51.75535987],[2.375 2.265 2.63 ],[-0.07  -0.079 -0.081],[0.06  0.079 0.113],[117.  54.  25.],[165.5 112.8 116.9],[148.1  99.4  99.9],[4665. 2307. 1478.],3,11.42754491,51.75535987,28.950411196666664,40.32781496,0.6560023959747794,0.5831388699518943,1.12892871043107,0.0042180007572736,0.0271328515951203,0.0117876255387589,0.3356379568350805,2.265,2.63,2.4233333333333333,0.3649999999999997,0.1528797639395816,0.0630865600851093,0.0270860138418769,0.0502063273727647,0,0,3,0,,0,0,[0.0355824  0.09334631],0.035582401837176425,0.06446435521553495,[0. 0.]
115,12.791,1.29936,0.99,4.394,-0.081,[3.43589876 5.41220432 7.1259213 ],[0.517 2.522 1.431],[-0.051 -0.083 -0.053],[0.051 0.113 0.077],[373. 246. 179.],[  8.7 166.7  47.1],[  7.4 163.5  39.8],[10834.2  6308.   4640.2],3,3.43589876,7.1259213,5.324674793333333,3.69002254,0.3168006629087598,0.2831565036123402,0.4459162800701236,0.1888290986120956,0.0894082937591217,0.0389724815677889,0.6294309369810919,0.517,2.522,1.49,2.005,0.8196003090938085,0.5500673215394688,0.2965733049576836,0.4485458612975391,1,1,1,0,,1,0,[ 0.05012879 -0.01252047],0.01252047058711192,0.03132463115679912,[0.         1.33333333]
116,12.882,1.23112,0.96,4.372,-0.08,[ 6.16489698 13.57077256 23.98008894 43.84443349],[0.795 2.384 1.078 2.622],[-0.057 -0.088 -0.06  -0.107],[0.062 0.103 0.072 0.225],[208. 102.  55.  31.],[14.4 88.4 17.1 83.7],[11.6 76.8 10.9 65.6],[6246.6 2840.4 2653.5 1297.6],4,6.16489698,43.84443349,21.8900479925,37.67953651,0.8519886393596967,0.6472045874615153,0.932235045689656,0.0372964816538,0.0749146616615569,0.0419841855292623,0.6784734250572174,0.795,2.622,1.71975,1.827,0.7940857557594141,0.4617448790576619,0.2275448624942875,0.3288753210253428,1,1,2,0,,0,0,[ 0.10064877  0.0602236  -0.08581587],0.06022360189050291,0.08581586999735291,[0. 0. 0.]
117,12.487,0.56932,1.22,4.12,0.302,[ 3.18002806  4.90143997  7.95826316 14.74916437],[1.585 1.712 1.019 2.996],[-0.062 -0.065 -0.055 -0.101],[0.093 0.115 0.072 0.156],[342. 219. 133.  69.],[ 50.4  50.6  14.7 107.4],[35.  33.2 10.2 66.2],[8154.8 5300.5 3638.1 3656.7],4,3.18002806,14.74916437,7.69722389,11.56913631,0.6663364634451228,0.5737694072955095,0.6727641326585272,0.0393550703567255,0.0621714986515869,0.0337254147364968,0.7211213842664236,1.019,2.996,1.828,1.977,0.7230508280888696,0.3955420284950052,0.1696334018203569,0.2761670313639679,0,3,1,0,,1,0,[ 0.02754648 -0.02580508 -0.07334276],0.025805084786134858,0.027546482299488417,[1.5 0.  0. ]
137,13.96,0.5075,1.33,4.184,-0.173,[ 3.5047162   7.64156004 14.85892272],[1.589 4.212 5.077],[-0.06  -0.101 -0.127],[0.078 0.132 0.162],[387. 180.  93.],[ 67.5 437.5 456.8],[ 50.8 366.3 399.4],[6353. 5153. 2870.],3,3.5047162,14.85892272,8.668399653333333,11.354206520000002,0.6273344679429678,0.541260032220248,1.0624264892952917,0.0204478005627206,0.0571842775439967,0.0248721111836032,0.317368340077903,1.589,5.077,3.626,3.488,1.4830336026761723,0.4089998904236548,0.226556078242323,0.320647177790035,0,1,0,2,,0,0,[ 0.09018243 -0.02775594],0.027755939741330615,0.058969184388976414,[0. 0.]
